"FL_DATE","AVG_DELAY"
2014-01-01,13
2014-01-02,5
2014-01-03,35
2014-01-04,5
2014-01-05,27
2014-01-06,21
2014-01-07,50
2014-01-08,25
2014-01-09,39
2014-01-10,25
2014-01-11,56
2014-01-12,51
2014-01-13,57
2014-01-14,34
2014-01-15,33
2014-01-16,39
2014-01-17,56
2014-01-18,30
2014-01-19,-5
2014-01-20,26
2014-01-21,14
2014-01-22,44
2014-01-23,30
2014-01-24,9
2014-01-25,2
2014-01-26,18
2014-01-27,9
2014-01-28,13
2014-01-29,12
2014-01-30,45
2014-01-31,27
2014-02-01,-7
2014-02-02,25
2014-02-03,38
2014-02-04,7
2014-02-05,31
2014-02-06,55
2014-02-07,46
2014-02-08,13
2014-02-09,41
2014-02-10,-5
2014-02-11,44
2014-02-12,50
2014-02-13,1
2014-02-14,50
2014-02-15,33
2014-02-16,-2
2014-02-17,35
2014-02-18,52
2014-02-19,22
2014-02-20,56
2014-02-21,50
2014-02-22,31
2014-02-23,29
2014-02-24,58
2014-02-25,11
2014-02-26,29
2014-02-27,12
2014-02-28,53
2014-03-01,-8
2014-03-02,28
2014-03-03,2
2014-03-04,4
2014-03-05,0
2014-03-06,51
2014-03-07,0
2014-03-08,0
2014-03-09,24
2014-03-10,27
2014-03-11,41
2014-03-12,51
2014-03-13,30
2014-03-14,26
2014-03-15,27
2014-03-16,26
2014-03-17,13
2014-03-18,-5
2014-03-19,19
2014-03-20,45
2014-03-21,4
2014-03-22,37
2014-03-23,56
2014-03-24,54
2014-03-25,59
2014-03-26,-6
2014-03-27,45
2014-03-28,-6
2014-03-29,48
2014-03-30,29
2014-03-31,36
2014-04-01,17
2014-04-02,-8
2014-04-03,14
2014-04-04,26
2014-04-05,51
2014-04-06,32
2014-04-07,-1
2014-04-08,1
2014-04-09,51
2014-04-10,29
2014-04-11,5
2014-04-12,53
2014-04-13,16
2014-04-14,56
2014-04-15,9
2014-04-16,51
2014-04-17,-5
2014-04-18,44
2014-04-19,27
2014-04-20,31
2014-04-21,30
2014-04-22,3
2014-04-23,33
2014-04-24,10
2014-04-25,2
2014-04-26,35
2014-04-27,6
2014-04-28,23
2014-04-29,12
2014-04-30,26
2014-05-01,25
2014-05-02,-6
2014-05-03,41
2014-05-04,20
2014-05-05,31
2014-05-06,59
2014-05-07,43
2014-05-08,-8
2014-05-09,-9
2014-05-10,47
2014-05-11,35
2014-05-12,27
2014-05-13,47
2014-05-14,-6
2014-05-15,53
2014-05-16,41
2014-05-17,60
2014-05-18,39
2014-05-19,-2
2014-05-20,37
2014-05-21,60
2014-05-22,20
2014-05-23,44
2014-05-24,40
2014-05-25,29
2014-05-26,60
2014-05-27,23
2014-05-28,24
2014-05-29,49
2014-05-30,-10
2014-05-31,34
2014-06-01,47
2014-06-02,-10
2014-06-03,7
2014-06-04,-10
2014-06-05,21
2014-06-06,50
2014-06-07,20
2014-06-08,20
2014-06-09,31
2014-06-10,20
2014-06-11,37
2014-06-12,58
2014-06-13,35
2014-06-14,38
2014-06-15,2
2014-06-16,39
2014-06-17,44
2014-06-18,3
2014-06-19,3
2014-06-20,-5
2014-06-21,42
2014-06-22,45
2014-06-23,22
2014-06-24,59
2014-06-25,-10
2014-06-26,-5
2014-06-27,-6
2014-06-28,5
2014-06-29,-6
2014-06-30,-9
2014-07-01,38
2014-07-02,-2
2014-07-03,-9
2014-07-04,26
2014-07-05,15
2014-07-06,57
2014-07-07,11
2014-07-08,19
2014-07-09,37
2014-07-10,12
2014-07-11,3
2014-07-12,19
2014-07-13,31
2014-07-14,59
2014-07-15,1
2014-07-16,45
2014-07-17,60
2014-07-18,20
2014-07-19,-4
2014-07-20,5
2014-07-21,44
2014-07-22,43
2014-07-23,1
2014-07-24,-7
2014-07-25,50
2014-07-26,44
2014-07-27,-9
2014-07-28,55
2014-07-29,-9
2014-07-30,59
2014-07-31,25
2014-08-01,34
2014-08-02,45
2014-08-03,40
2014-08-04,5
2014-08-05,2
2014-08-06,23
2014-08-07,-5
2014-08-08,-5
2014-08-09,-5
2014-08-10,35
2014-08-11,53
2014-08-12,18
2014-08-13,-10
2014-08-14,38
2014-08-15,-7
2014-08-16,11
2014-08-17,-1
2014-08-18,33
2014-08-19,45
2014-08-20,28
2014-08-21,35
2014-08-22,25
2014-08-23,-3
2014-08-24,56
2014-08-25,22
2014-08-26,-4
2014-08-27,56
2014-08-28,30
2014-08-29,-4
2014-08-30,1
2014-08-31,-2
2014-09-01,4
2014-09-02,20
2014-09-03,51
2014-09-04,22
2014-09-05,22
2014-09-06,56
2014-09-07,26
2014-09-08,36
2014-09-09,54
2014-09-10,32
2014-09-11,-5
2014-09-12,30
2014-09-13,6
2014-09-14,14
2014-09-15,24
2014-09-16,34
2014-09-17,3
2014-09-18,8
2014-09-19,29
2014-09-20,16
2014-09-21,48
2014-09-22,34
2014-09-23,-1
2014-09-24,58
2014-09-25,46
2014-09-26,-9
2014-09-27,25
2014-09-28,38
2014-09-29,31
2014-09-30,31
2014-10-01,55
2014-10-02,20
2014-10-03,20
2014-10-04,48
2014-10-05,18
2014-10-06,4
2014-10-07,31
2014-10-08,35
2014-10-09,41
2014-10-10,49
2014-10-11,10
2014-10-12,2
2014-10-13,10
2014-10-14,21
2014-10-15,42
2014-10-16,54
2014-10-17,40
2014-10-18,57
2014-10-19,56
2014-10-20,3
2014-10-21,23
2014-10-22,23
2014-10-23,25
2014-10-24,7
2014-10-25,56
2014-10-26,44
2014-10-27,-8
2014-10-28,29
2014-10-29,50
2014-10-30,52
2014-10-31,2
2014-11-01,21
2014-11-02,-1
2014-11-03,42
2014-11-04,42
2014-11-05,9
2014-11-06,12
2014-11-07,14
2014-11-08,-6
2014-11-09,59
2014-11-10,54
2014-11-11,0
2014-11-12,-4
2014-11-13,42
2014-11-14,-7
2014-11-15,-1
2014-11-16,-10
2014-11-17,52
2014-11-18,35
2014-11-19,17
2014-11-20,-5
2014-11-21,19
2014-11-22,-6
2014-11-23,53
2014-11-24,21
2014-11-25,13
2014-11-26,35
2014-11-27,0
2014-11-28,35
2014-11-29,-2
2014-11-30,32
2014-12-01,-4
2014-12-02,37
2014-12-03,4
2014-12-04,60
2014-12-05,16
2014-12-06,9
2014-12-07,33
2014-12-08,-2
2014-12-09,35
2014-12-10,37
2014-12-11,-4
2014-12-12,47
2014-12-13,22
2014-12-14,26
2014-12-15,47
2014-12-16,4
2014-12-17,28
2014-12-18,52
2014-12-19,60
2014-12-20,12
2014-12-21,41
2014-12-22,34
2014-12-23,48
2014-12-24,20
2014-12-25,43
2014-12-26,11
2014-12-27,21
2014-12-28,14
2014-12-29,9
2014-12-30,5
2014-12-31,7
